cb,trademark,model,diameter,gain
11,ANDREW CORPORATION,KP10F-13,3.0,30.7
11,ANDREW CORPORATION,KP3F-13,0.9,21.4
11,ANDREW CORPORATION,KP4F-13,1.2,23.8
11,ANDREW CORPORATION,KP6F-13,1.8,27.2
11,ANDREW CORPORATION,KP8F-13,2.4,29.4
11,ANDREW CORPORATION,FP4F-13,1.2,22.4
11,ANDREW CORPORATION,FP6F-13,1.8,25.9
11,ANDREW CORPORATION,FP8F-13,2.4,28.8
11,ANDREW CORPORATION,FPHP4F-13,1.2,22.3
11,ANDREW CORPORATION,FPHP6F-13,1.8,25.8
11,ANDREW CORPORATION,FPHP8F-13,2.4,28.7
11,ANDREW CORPORATION,KPR10F-13,3.0,30.5
11,ANDREW CORPORATION,KPR13F-13,3.9,32.9
11,ANDREW CORPORATION,KPR3F-13,0.9,20.1
11,ANDREW CORPORATION,KPR4F-13,1.2,23.6
11,ANDREW CORPORATION,KPR6F-13,1.8,27.0
11,ANDREW CORPORATION,KPR8F-13,2.4,28.8
11,ANDREW CORPORATION,FP10F-15D,3.0,30.6
11,ANDREW CORPORATION,FP12F-15D,3.6,31.8
11,ANDREW CORPORATION,FP4F-15E,1.2,22.9
11,ANDREW CORPORATION,FP6F-15E,1.8,26.2
11,ANDREW CORPORATION,FP8F-15E,2.4,29.0
11,ANDREW CORPORATION,GP10-15B,3.0,31.0
11,ANDREW CORPORATION,GP10F-15B,3.0,31.0
11,ANDREW CORPORATION,GP12-15A,3.6,32.2
11,ANDREW CORPORATION,GP12F-15A,3.6,32.2
11,ANDREW CORPORATION,GP15-15A,4.5,34.0
11,ANDREW CORPORATION,GP15F-15A,4.5,34.0
11,ANDREW CORPORATION,GP6-15B,1.8,26.5
11,ANDREW CORPORATION,GP6F-15B,1.8,26.5
11,ANDREW CORPORATION,GP8-15B,2.4,29.0
11,ANDREW CORPORATION,GP8F-15B,2.4,29.0
11,ANDREW CORPORATION,KP10-15D,3.0,30.8
11,ANDREW CORPORATION,KP10-15D,3.0,30.8
11,ANDREW CORPORATION,KP10F-15,3.0,30.7
11,ANDREW CORPORATION,KP13-15B,3.9,33.2
11,ANDREW CORPORATION,KP13F-15,3.9,33.1
11,ANDREW CORPORATION,KP13F-15B,3.9,33.2
11,ANDREW CORPORATION,KP4-15A,1.2,23.5
11,ANDREW CORPORATION,KP4F-15,1.2,23.4
11,ANDREW CORPORATION,KP6-15C,1.8,27.2
11,ANDREW CORPORATION,KP6-15C,1.8,27.2
11,ANDREW CORPORATION,KP6F-15,1.8,27.1
11,ANDREW CORPORATION,KP6F-15C,1.8,27.2
11,ANDREW CORPORATION,KP8-15B,2.4,28.8
11,ANDREW CORPORATION,KP8F-15,2.4,28.7
11,ANDREW CORPORATION,KPR10F-15,3.0,30.8
11,ANDREW CORPORATION,KPR13F-15,3.9,33.1
11,ANDREW CORPORATION,KPR4F-15,1.2,23.5
11,ANDREW CORPORATION,KPR6F-15,1.8,27.2
11,ANDREW CORPORATION,KPR8F-15,2.4,29.3
11,ANDREW CORPORATION,P4-15C,1.2,23.0
11,ANDREW CORPORATION,P4F-15,1.2,23.0
11,ANDREW CORPORATION,P4F-15E,1.2,23.0
11,ANDREW CORPORATION,P8-15C,2.4,29.0
11,ANDREW CORPORATION,P8F-15C,2.4,29.0
11,ANDREW CORPORATION,PL10F-15,3.0,31.0
11,ANDREW CORPORATION,PL6F-15,1.8,26.5
11,ANDREW CORPORATION,PL8F-15,2.4,29.0
11,GABRIEL ELECTRONICS. INC.,GHA4-15A,1.2,23.0
11,GABRIEL ELECTRONICS. INC.,GHA6-15A,1.8,26.6
