Description,Model,Gain,Code,BW,Diameter,Flow,Fhigh,Cb,Generic
Andrew VHLPX6-6W,VHLPX6-6W,39.00,7139,1.8,1.83,5925.00,7125.00,61-62,
Andrew VHLPX4-6W,VHLPX4-6W,35.00,7137B,2.9,1.22,5925.00,7125.00,61-62,
Andrew VHLP4-6W,VHLP4-6W,35.5,7136C,2.9,1.22,5925.00,7125.00,61-62,
Andrew VHLP6-6W,VHLP6-6W,39.00,7138,1.8,1.83,5925.00,7125.00,61-62,1
Andrew UHX12-65,UFD:12-65 (R),45.7,A1715J,0.9,3.66,6425.00,7125.00,61-62,
Andrew HPX8-65,HPX8-65,42.00,A2654D,1.3,2.44,6425.00,7125.00,61-62,
Andrew HPX12-65,HPX12-65,45.4,A2656D,0.8,3.66,6425.00,7125.00,61-62,
Andrew HPX10-65,HPX10-65,44.00,A2655D,1.00,3.05,6425.00,7125.00,61-62,
Andrew VHLPX3-7W,VHLPX3-7W,35.3,7168A,3.00,0.91,7100.00,8500.00,71-72-81,
Andrew VHLP3-7W,VHLP3-7W,35.3,7146A,3.00,0.91,7100.00,8500.00,71-72-81,
Andrew HPX12-71W,HPX12-71W,46.7,HPX12-71W,0.8,3.65,7125.00,8500.00,71-72-81,
Andrew HPX10-71W,HPX10-71W,44.9,A2864A,0.9,3.05,7125.00,8500.00,71-72-81,
Andrew VHLPX6-7W,VHLPX6-7W,40.6,7082A,1.5,1.83,7125.00,8500.00,71-72-81,
Andrew VHLP6-7W,VHLP6-7W,40.8,7081B,1.5,1.83,7125.00,8500.00,71-72-81,1
Andrew HPX8-71W,HPX8-71W,42.9,A2825A,1.2,2.44,7125.00,8500.00,71-72-81,
Andrew VHLPX4-7W,VHLPX4-7W,37.3,7080D,2.2,1.22,7125.00,8500.00,71-72-81,
Andrew VHLP4-7W,VHLP4-7W,37.3,7079D,2.2,1.22,7125.00,8500.00,71-72-81,
Andrew HPX8-77,HPX8-77,43.4,2793D,1.1,2.44,7725.00,8500.00,71-72-81,
Andrew VHLP6-15,VHLP6-15,46.2,7057,0.8,1.83,14250.00,15350.00,151,
Andrew VHLPX6-15,VHLPX6-15,46.2,7058,0.8,1.83,14250.00,15350.00,151,
Andrew VHLPX4-15,VHLPX4-15,43.00,7056B,1.2,1.22,14400.00,15350.00,151,
Andrew VHLP4-15,VHLP4-15,43.00,7055B,1.2,1.22,14400.00,15350.00,151,1
Andrew VHLPX4-18,VHLPX4-18,44.7,7062B,0.9,1.22,17700.00,19700.00,181,
Andrew VHLPX2-18/C,VHLPX2-18/C,39.00,7216C,2.1,0.61,17700.00,19700.00,181,
Andrew VHLP2-18/C,VHLP2-18/C,39.00,7204C,2.1,0.61,17700.00,19700.00,181,
Andrew VHLP4-18,VHLP4-18,44.7,7061B,0.9,1.22,17700.00,19700.00,181,1
Andrew VHLPX4-23,VHLPX4-23,46.7,7068B,0.75,1.22,21200.00,23600.00,231,
Andrew VHLPX2-23/C,VHLPX2-23/C,40.7,7217C,1.7,0.61,21200.00,23600.00,231,
Andrew VHLP4-23,VHLP4-23,46.7,7067B,0.75,1.22,21200.00,23600.00,231,
Andrew VHLP2-23/C,VHLP2-23/C,40.7,7205C,1.7,0.61,21200.00,23600.00,231,1
AndrewVHLPX1-23,VHLPX1-23,35.3,7015B,3.00,0.3,21200.00,23600.00,231,
AndrewVHLP1-23,VHLP1-23,35.3,7014B,3.00,0.3,21200.00,23600.00,231,
AndrewVHLPX1-80,VHLPX1-80,43.5,7331A,0.9,0.3,71000.00,86000.00,785,
AndrewVHLP1-80,VHLP1-80,43.5,7287A,0.9,0.3,71000.00,86000.00,785,1
